P_NAME,P_DETECTION,P_MASS,P_RADIUS,P_FLUX,P_TEMP_SURF,P_PERIOD,P_DISTANCE,P_DENSITY,P_GRAVITY,P_ESI
HD 136352 d,Radial Velocity,8.82,2.562,5.744102,468.82948,107.245,0.425,0.52448275,1.3437248,0.41385496
Kepler-263 c,Transit,6.66,2.47,5.9754314,,47.332773,0.242,0.44196041,1.0916422,0.4133865
Kepler-20 d,Transit,13.4,2.606,5.685981,1326.8171,77.611455,0.34856796,0.75714937,1.9731313,0.41281715
Kapteyn c,Radial Velocity,7,2.54,0.17111233,1093.2493,121.54,0.31922595,0.42716621,1.0850022,0.41254813
Kepler-925 b,Transit,6.08,2.34,6.3539763,,33.867853,0.1805,0.47452162,1.1103806,0.41220784
KIC 3558849 b,Transit,38.1,6.9,0.46350751,1031.5463,1322.3,2.3413784,0.11597856,0.80025205,0.41172115
GJ 143 b,Transit,22.7,2.61,5.7210561,1108.9732,35.61253,0.19488419,1.2767455,3.3323058,0.41165238
Kepler-306 e,Transit,5.77,2.27,6.5909541,1119.0133,44.840975,0.227,0.49328538,1.1197578,0.41122473
Kepler-1750 b,Transit,30.1,6.004,2.4997714,,205.912,0.6785,0.13907352,0.83499741,0.41089956
Kepler-888 b,Transit,3.75,1.76,8.4188411,981.97379,70.697906,0.328,0.68784924,1.2106147,0.40998639
Kepler-1536 b,Transit,10,3.14,0.2081839,1415.8925,364.75803,0.8507,0.32300635,1.0142399,0.40978255
GJ 887 b,Radial Velocity,4.2,1.88,7.9612667,,9.262,0.068,0.63208538,1.1883205,0.4097419
Kepler-249 c,Transit,2.89,1.51,9.5092007,962.22809,7.113702,0.058,0.8393962,1.2674883,0.4097103
Kepler-1185 b,Transit,2.33,1.33,10.367387,,104.3519,0.4297,0.99037803,1.3172028,0.40875936
Kepler-225 c,Transit,4.04,1.84,8.1913228,,18.794234,0.111,0.64852675,1.1932892,0.4085451
K2-384 c,Transit,1.82,1.191,10.906729,,4.194766,0.03516841,1.0772986,1.2830627,0.40844712
HD 127506 b,Radial Velocity,27.33324,5.67,2.717181,,65.78395,0.2952656,0.14994844,0.85020763,0.40686639
HD 137388 b,Radial Velocity,63.566,9.32,0.62281713,,330,0.947672,0.078519431,0.7318011,0.40671163
Kepler-920 c,Transit,13.8,3.8,4.0420852,688.94978,100.82741,0.4029,0.25149439,0.95567867,0.40657968
HD 51608 c,Radial Velocity,14.31,3.87,3.9689571,,95.9446,0.38463282,0.24689184,0.95547143,0.4065742
Kepler-233 c,Transit,7.8,2.71,5.7047446,,60.418955,0.287,0.39191035,1.062077,0.40635359
Kepler-421 b,Transit,16.1,4.16,0.26937539,1554.1629,704.1984,1.2200246,0.22363815,0.93033469,0.40572413
Kepler-1996 b,Transit,5.73,2.26,6.8830246,1811.7426,32.376183,0.1789,0.49639718,1.1218576,0.40572154
Kepler-1498 b,Transit,2.33,1.33,10.676917,1471.2892,48.051405,0.2528,0.99037803,1.3172028,0.40550892
Kepler-178 d,Transit,14.8,3.95,3.9302392,,96.678988,0.397,0.24014327,0.94856593,0.40484958
Kepler-1461 b,Transit,4.78,2.03,7.6996636,,29.349477,0.1715,0.5713994,1.1599408,0.40476121
GJ 9689 b,Radial Velocity,9.65,3.07,5.0819282,,18.27,0.11868949,0.33351255,1.0238835,0.40454847
Kepler-1716 b,Transit,6.46,2.425,6.4745411,,35.581001,0.1916,0.45299905,1.0985227,0.40436966
HD 211970 b,Radial Velocity,13,3.66,4.2586264,,25.201,0.14460875,0.26515517,0.97046791,0.40425496
CD Cet b,Radial Velocity,3.95,1.82,8.5636033,,2.2907,0.0185,0.65521364,1.1924888,0.40416679
Kepler-196 c,Transit,5.65,2.24,7.023887,,47.427737,0.24,0.5026948,1.1260364,0.40414411
Kepler-988 b,Transit,4.94,2.07,7.6232563,,17.760801,0.1085,0.55694962,1.1528857,0.40359153
GJ 3082 b,Radial Velocity,8.2,2.79,5.6561198,,11.949,0.0809118,0.37757327,1.0534294,0.40317601
Kepler-1085 b,Transit,41.2,7.22,2.1958041,,219.32175,0.7391,0.10946761,0.79035612,0.40309487
Kepler-357 d,Transit,11.6,3.43,4.5933526,,49.499875,0.246,0.28745881,0.98598373,0.40266931
Kepler-149 c,Transit,3.22,1.61,9.6291369,1194.1322,55.328328,0.281,0.77157517,1.242236,0.40262899
Kepler-138 b,Transit,0.07,0.64,9.8740864,2466.9414,10.3134,0.07531506,0.26702881,0.17089844,0.40243559
BD-06 1339 c,Radial Velocity,53,8.38,0.52839816,,125.94,0.45590175,0.090062462,0.75472343,0.40240802
