P_NAME,P_DETECTION,P_MASS,P_RADIUS,P_FLUX,P_TEMP_SURF,P_PERIOD,P_DISTANCE,P_DENSITY,P_GRAVITY,P_ESI
Kepler-1438 b,Transit,0.779,0.94,1108.7862,1660.1123,2.3194201,0.0346,0.9378943,0.88162064,0.29382883
Kepler-1894 b,Transit,1.87,1.201,362.30852,,2.76266,0.0385,1.079475,1.2964495,0.29382719
Kepler-403 c,Transit,3.71,1.75,49.944435,798.9375,54.280749,0.297,0.6922449,1.2114286,0.29381148
Kepler-1240 b,Transit,1.6,1.15,538.62885,,4.8663815,0.0557,1.052026,1.2098299,0.29378874
Kepler-185 b,Transit,1.71,1.17,463.50381,782.15924,1.6329,0.026,1.0676737,1.2491782,0.29376191
Kepler-1197 b,Transit,2.1,1.25,269.41832,,2.0323184,0.0283,1.0752,1.344,0.29373927
Kepler-336 b,Transit,1.04,1.02,1670.9833,,2.024823,0.033,0.98001523,0.99961553,0.29370436
Kepler-176 b,Transit,2.63,1.43,117.25841,1050.7979,5.433074,0.058,0.89938913,1.2861265,0.29368041
Kepler-1876 b,Transit,2.4,0.853,469.63143,,6.99205,0.076163992,3.8669107,3.2984749,0.29366715
Kepler-889 b,Transit,1.32,1.09,997.86041,1364.227,3.744439,0.0492,1.0192822,1.1110176,0.29365244
Kepler-755 c,Transit,2.13,1.26,259.21962,,2.8531336,0.0367,1.0647998,1.3416478,0.29362808
Kepler-1409 b,Transit,1.12,1.04,1637.996,,0.76486493,0.0152,0.99567592,1.035503,0.29362
Kepler-605 c,Transit,0.566,0.86,518.76674,737.18189,2.3589515,0.033,0.88985875,0.76527853,0.2936062
Kepler-1312 c,Transit,1.07,1.027,1822.6674,,1.11612,0.0209,0.98780779,1.0144786,0.29360591
Kepler-1001 c,Transit,3.11,1.578,74.548932,,9.18186,0.084,0.79147899,1.2489539,0.29359262
Kepler-132 b,Transit,1.92,1.21,362.11823,1476.4375,6.178196,0.067,1.0837899,1.3113858,0.29358514
Kepler-80 e,Transit,4.13,1.6,70.442866,,4.64489,0.0491,1.0083008,1.6132812,0.29358323
Kepler-1890 b,Transit,0.587,0.869,583.42255,822.51374,4.82059,0.0563,0.89449676,0.77731768,0.29357235
Kepler-1597 b,Transit,1.2,1.06,1489.8558,,2.9465418,0.0427,1.0075431,1.0679957,0.29354155
Kepler-377 b,Transit,2.51,1.39,139.04232,,12.509529,0.109,0.93460763,1.2991046,0.29350555
Kepler-358 b,Transit,7.85,2.72,16.502943,,34.060467,0.21,0.39008832,1.0610402,0.29349248
Kepler-84 f,Transit,5.48,2.2,26.068737,663.58143,44.552169,0.25,0.51465064,1.1322314,0.29349022
K2-229 b,Transit,2.49,1,2379.3449,830.19509,0.584216,0.0131,2.49,2.49,0.29348735
Kepler-1434 b,Transit,1.41,1.11,910.59437,971.9342,8.0533362,0.0894,1.0309798,1.1443876,0.29348224
Kepler-1834 b,Transit,2.73,1.459,107.65561,,4.6030102,0.0496,0.87901598,1.2824843,0.29347058
Kepler-1311 b,Transit,2.07,1.24,303.11499,,11.172699,0.0989,1.0856886,1.3462539,0.29346979
Kepler-304 e,Transit,1.87,1.2,404.59828,1248.7876,1.499147,0.0232,1.0821759,1.2986111,0.29344966
Kepler-374 b,Transit,1.08,1.03,2234.6217,,1.897806,0.029,0.98835299,1.0180036,0.29344853
K2-80 c,Transit,2.76,1.47,104.1136,1175.9856,5.605,0.0596,0.86887455,1.2772456,0.29341819
Kepler-374 c,Transit,1.37,1.1,1065.3723,2072.6524,3.282807,0.042,1.0293013,1.1322314,0.29341666
Kepler-1832 b,Transit,2.02,1.227,336.1991,,3.1387899,0.037,1.0934972,1.3417211,0.29340159
Kepler-743 b,Transit,1.92,1.21,381.63433,1131.2257,3.1792629,0.0418,1.0837899,1.3113858,0.2933874
Kepler-1297 b,Transit,0.871,0.97,2502.8057,821.37817,1.68189,0.0283,0.95433962,0.92570943,0.293376
Kepler-99 b,Transit,6.15,1.48,101.18617,1518.9251,4.60358,0.050692,1.8970989,2.8077064,0.29335307
Kepler-115 b,Transit,1.32,1.09,1280.5455,,2.403679,0.036,1.0192822,1.1110176,0.29334042
Kepler-1443 b,Transit,0.871,0.97,2687.2271,911.32619,2.4181132,0.0368,0.95433962,0.92570943,0.29333726
Kepler-1506 b,Transit,2.3,1.32,195.48539,1440.0312,14.032915,0.1168,1.0000139,1.3200184,0.29332794
Kepler-756 b,Transit,1.46,1.12,914.34853,650.09615,1.2248663,0.0219,1.0391992,1.1639031,0.29330388
Kepler-1231 b,Transit,2.6,1.42,126.21402,,10.417252,0.0914,0.90804697,1.2894267,0.29327341
Kepler-181 b,Transit,2.15,1.27,261.14398,,3.137873,0.04,1.0496084,1.3330027,0.29326569
EPIC 220492298 b,Transit,0.937,0.99,3801.1646,,0.762406,0.016052462,0.96568171,0.9560249,0.29325625
Kepler-397 b,Transit,6.62,2.46,20.289672,,22.250949,0.144,0.44468519,1.0939256,0.29324852
Kepler-783 b,Transit,0.399,0.78,243.68961,,4.2926464,0.0491,0.840793,0.65581854,0.29324849
Kepler-1007 b,Transit,2.67,1.44,117.3593,,5.1850021,0.048,0.8941776,1.2876157,0.29324395
Kepler-1565 b,Transit,1.81,1.19,469.85723,,1.5381884,0.0241,1.0740826,1.2781583,0.29322924
Kepler-524 c,Transit,0.84,0.96,2993.0553,2109.61,1.8889791,0.0303,0.94943576,0.91145833,0.29321824
Kepler-1855 b,Transit,1.96,1.216,383.35781,,0.72733098,0.0115,1.0900724,1.325528,0.29320405
TOI-833 b,Transit,2.15,1.27,264.85476,1371.9289,1.0418777,0.0171,1.0496084,1.3330027,0.29319093
Kepler-1287 b,Transit,2.99,1.54,85.133476,,11.476859,0.0976,0.81867028,1.2607522,0.29314158
Kepler-1300 b,Transit,2.45,1.37,157.90795,1013.3269,22.241909,0.1655,0.95280578,1.3053439,0.29311973
K2-157 b,Transit,0.972,1,6428.2266,617.43434,0.365261,0.009793872,0.972,0.972,0.2931132
Kepler-237 b,Transit,2.57,1.41,133.37057,,4.715106,0.05,0.91680249,1.2926915,0.293107
Kepler-1288 b,Transit,1.46,1.12,1059.3061,1081.0171,2.7612242,0.0435,1.0391992,1.1639031,0.293093
K2-407 b,Transit,2.19,1.283,252.23167,,4.941907,0.054400162,1.0369651,1.3304262,0.29302315
HD 22496 b,Radial Velocity,5.57,2.22,25.754887,,5.09071,0.051,0.509092,1.1301842,0.2930226
TOI-431 c,Radial Velocity,2.83,1.49,100.69162,,4.8494,0.052,0.855515,1.2747174,0.29297194
Kepler-1398 b,Transit,0.666,0.9,1334.8359,,2.7881568,0.0392,0.91358025,0.82222222,0.29297174
Kepler-162 b,Transit,2.13,1.26,300.12475,,6.919798,0.069,1.0647998,1.3416478,0.29289473
Kepler-1027 b,Transit,0.64,0.89,1178.5716,1319.5381,1.9078052,0.0295,0.90784134,0.80797879,0.29289352
TOI-1695 b,Transit,6.36,1.9,39.511138,,3.1342791,0.033705827,0.92724887,1.7617729,0.29288865
Kepler-1235 b,Transit,0.418,0.79,289.62565,,4.1605586,0.0491,0.84780311,0.66976446,0.29287642
Kepler-831 b,Transit,2.15,1.27,282.72576,,5.6215394,0.0603,1.0496084,1.3330027,0.29285825
Kepler-407 b,Transit,3.2,1.07,3903.9442,2395.1339,0.66931,0.015302,2.6121532,2.7950039,0.29285099
Kepler-287 c,Transit,10.7,3.26,12.137515,1223.7146,44.851896,0.246,0.30883818,1.0068125,0.29283955
Kepler-1934 b,Transit,0.702,0.913,2136.3275,,1.41976,0.0245,0.92241165,0.84216184,0.29282335
Kepler-1561 b,Transit,1.32,1.09,2537.4444,,1.005207,0.0194,1.0192822,1.1110176,0.29279452
Kepler-1198 b,Transit,2.76,1.47,109.39005,1319.6881,7.6847716,0.0732,0.86887455,1.2772456,0.29278687
Kepler-716 c,Transit,2.52,1.393,148.07588,,3.96999,0.046,0.93228177,1.2986685,0.29278039
Kepler-1972 b,Transit,2.02,0.802,338.7879,,7.54425,0.076471255,3.91587,3.1405277,0.29277453
Kepler-1084 b,Transit,1.41,1.11,1705.7288,1099.8672,2.0533368,0.0324,1.0309798,1.1443876,0.29276047
Kepler-314 b,Transit,0.498,0.83,485.13646,1312.0669,2.461069,0.035,0.87095369,0.72289157,0.29274529
Kepler-450 d,Transit,17.6,0.837,537.86173,2084.1581,7.51464,0.0828036,30.014858,25.122436,0.29272919
Kepler-1537 b,Transit,1.76,1.18,629.02489,,1.4444538,0.0245,1.0711903,1.2640046,0.29272399
Kepler-656 c,Transit,2.57,1.41,138.61397,2469.8497,5.2544939,0.0602,0.91680249,1.2926915,0.29271749
Kepler-1130 c,Transit,0.422,0.792,306.31631,687.0812,3.26664,0.042356,0.84944821,0.67276298,0.29271682
HIP 29442 d,Radial Velocity,5.1,1.37,166.15393,,6.42975,0.0649,1.9833916,2.7172465,0.29268608
Kepler-295 b,Transit,1.98,1.22,434.23978,752.51304,12.645164,0.099,1.0903996,1.3302876,0.29266296
Kepler-1173 b,Transit,0.64,0.89,1490.0495,,0.7698536,0.0157,0.90784134,0.80797879,0.29264349
Kepler-1615 b,Transit,4.9,2.06,31.507537,904.65411,47.312619,0.2788,0.56052427,1.15468,0.29263397
Kepler-1574 b,Transit,2.21,1.29,259.4313,,6.9424334,0.0743,1.0294924,1.3280452,0.29263274
Kepler-1579 b,Transit,0.52,0.84,585.79266,959.68442,0.84990789,0.014,0.87733506,0.73696145,0.29262588
Kepler-1427 b,Transit,1.37,1.1,2673.4222,,0.96897238,0.0197,1.0293013,1.1322314,0.29262017
Kepler-286 d,Transit,2.33,1.33,205.75023,,5.914323,0.061,0.99037803,1.3172028,0.29260837
Kepler-203 d,Transit,33.9,1.44,124.16523,,11.32972,0.1,11.353041,16.34838,0.29260489
Kepler-167 c,Transit,3.44,1.674,61.785675,558.65279,7.406106,0.0684,0.73331755,1.2275736,0.29259682
Kepler-1338 b,Transit,0.721,0.92,4741.1684,943.43443,0.93511806,0.0193,0.92591641,0.8518431,0.29257765
Kepler-1213 b,Transit,1.81,1.19,615.81824,,5.3498241,0.0635,1.0740826,1.2781583,0.29252119
Kepler-1589 b,Transit,1.32,1.09,5075.6571,681.5993,0.99166527,0.0205,1.0192822,1.1110176,0.29251624
TOI-1235 b,Transit,6.69,1.69,59.803873,1266.9464,3.444714,0.038496159,1.3860089,2.342355,0.29250734
Kepler-129 c,Transit,43,2.52,19.531481,1038.5369,82.2,0.3978,2.6869948,6.771227,0.29249272
Kepler-150 b,Transit,2.1,1.25,356.52882,1648.0603,3.428054,0.044,1.0752,1.344,0.29247296
Kepler-1324 b,Transit,2.89,1.51,97.775077,,4.1158447,0.0466,0.8393962,1.2674883,0.29246945
Kepler-1586 b,Transit,2.92,1.52,95.089505,964.27837,15.604921,0.1266,0.83148054,1.2638504,0.2924036
Kepler-380 c,Transit,2.15,1.27,311.75311,,7.630004,0.078,1.0496084,1.3330027,0.29239891
Kepler-1352 b,Transit,0.64,0.89,2035.9049,1408.7552,1.8778827,0.03,0.90784134,0.80797879,0.29238975
Kepler-1408 b,Transit,0.64,0.89,2100.0138,779.8171,2.9979319,0.0425,0.90784134,0.80797879,0.2923686
K2-369 b,Transit,2.28,1.313,236.06969,,5.761612,0.056621306,1.0072579,1.3225296,0.29235937
Kepler-363 b,Transit,1.65,1.16,1005.8137,,3.614568,0.048,1.0570852,1.2262188,0.29235675
K2-183 b,Transit,1.37,1.1,5432.2534,,0.469285,0.011574707,1.0293013,1.1322314,0.29235197
L 168-9 b,Transit,4.6,1.39,157.42935,853.40327,1.4015,0.021371065,1.7128267,2.3808291,0.29234925
Kepler-1435 b,Transit,0.566,0.86,985.40489,,4.4534328,0.0546,0.88985875,0.76527853,0.29232269
Kepler-1063 b,Transit,2.83,1.49,105.97059,,14.079715,0.1176,0.855515,1.2747174,0.29229905
Kepler-1463 b,Transit,4.12,1.86,43.069833,968.80855,25.15864,0.1694,0.64026297,1.1908891,0.29228729
Kepler-1531 b,Transit,1.41,1.11,4160.5873,,1.1385434,0.022,1.0309798,1.1443876,0.29227235
Kepler-393 c,Transit,2.33,1.33,217.34849,,14.613612,0.124,0.99037803,1.3172028,0.29224869
Kepler-1226 b,Transit,2.7,1.45,123.39108,1045.6468,17.292345,0.1361,0.88564517,1.2841855,0.29224377
Kepler-80 f,Transit,1.92,1.21,554.52854,1868.6368,0.9867873,0.0175,1.0837899,1.3113858,0.29224232
Kepler-1082 b,Transit,1.46,1.12,3119.8503,,1.5432066,0.0257,1.0391992,1.1639031,0.29221378
Kepler-105 c,Transit,4.6,1.31,247.32089,,7.1262,0.0711,2.0461805,2.6804965,0.29219846
Kepler-1671 b,Transit,2.32,1.326,224.82107,,4.16787,0.0491,0.99507866,1.3194743,0.29218342
Kepler-290 d,Transit,0.566,0.86,1093.852,,0.76401755,0.0154,0.88985875,0.76527853,0.29218108
Kepler-132 d,Transit,3.02,1.55,87.886503,653.33386,18.010199,0.136,0.81098318,1.2570239,0.29217742
Kepler-1547 b,Transit,0.666,0.9,6123.9567,1160.5864,0.69297968,0.0165,0.91358025,0.82222222,0.29214511
Kepler-1269 b,Transit,3.29,1.63,70.434125,,37.333154,0.226,0.75968418,1.2382852,0.29212664
Kepler-1252 b,Transit,3.43,1.67,63.791451,,15.054033,0.1078,0.73645244,1.2298756,0.29212101
Kepler-1623 b,Transit,2.27,1.31,250.80748,,4.3612835,0.0518,1.0097456,1.3227667,0.29212031
Kepler-1366 b,Transit,2.63,1.43,135.41747,1354.1743,2.164571,0.0273,0.89938913,1.2861265,0.29211366
Kepler-929 b,Transit,1.41,1.11,7841.471,,0.92103214,0.0192,1.0309798,1.1443876,0.29211307
Kepler-380 b,Transit,1.81,1.19,758.68237,,3.930821,0.05,1.0740826,1.2781583,0.29209164
Kepler-466 c,Transit,2.1,1.25,396.3639,,3.7092138,0.0465,1.0752,1.344,0.29207888
Kepler-1468 c,Transit,1.6,1.15,1563.9691,1483.35,3.5455302,0.0466,1.052026,1.2098299,0.29207587
Kepler-1047 b,Transit,5.02,2.09,30.732708,,56.188689,0.2939,0.54987612,1.1492411,0.29206196
Kepler-365 c,Transit,3.33,1.64,68.953905,,17.784129,0.137,0.75494044,1.2381023,0.29204295
Kepler-1035 b,Transit,1.71,1.17,1085.9889,,2.7140775,0.0386,1.0676737,1.2491782,0.29202374
Kepler-780 b,Transit,0.64,0.89,4621.8674,,0.67737516,0.015,0.90784134,0.80797879,0.29200203
Kepler-49 d,Transit,3.19,1.6,76.962047,,2.576549,0.031,0.77880859,1.2460937,0.29197264
K2-223 b,Transit,0.64,0.89,5719.9543,,0.50557,0.0127,0.90784134,0.80797879,0.29194341
Kepler-1416 b,Transit,0.615,0.88,2911.6137,,1.4951495,0.0257,0.90245821,0.79416322,0.29193879
Kepler-342 e,Transit,0.615,0.88,3305.7101,869.10065,1.6442246,0.0293,0.90245821,0.79416322,0.29188104
Kepler-1397 b,Transit,3.61,1.72,57.595084,,47.449955,0.2602,0.70945011,1.2202542,0.29184427
TOI-500 b,Transit,1.42,1.166,1414.1643,1118.3694,0.548177,0.011913596,0.89576212,1.0444586,0.29181607
Kepler-607 b,Transit,0.59,0.87,2276.8397,,0.6381632,0.0135,0.89597162,0.77949531,0.29180598
Kepler-1381 b,Transit,5.69,2.25,25.580706,1184.6589,25.384269,0.1728,0.49953361,1.1239506,0.29179618
Kepler-1763 b,Transit,1.59,1.147,2845.3373,,1.48028,0.0257,1.0536755,1.2085658,0.29173347
Kepler-402 b,Transit,1.98,1.22,613.56369,,4.028751,0.051,1.0903996,1.3302876,0.29171951
HD 168443 c,Radial Velocity,5500.3384,12.2,0.30517266,,1753.1096,2.9046661,3.0290742,36.954706,0.29171395
Kepler-1145 b,Transit,2.54,1.4,161.87976,,3.9707677,0.0443,0.92565598,1.2959184,0.29170256
Kepler-180 c,Transit,9.32,3.01,14.071132,,41.885775,0.229,0.34175622,1.0286862,0.29167426
Kepler-1448 b,Transit,3.22,1.61,76.212931,,12.270659,0.1058,0.77157517,1.242236,0.29166057
Kepler-251 b,Transit,2.33,1.33,239.57873,,4.790936,0.053,0.99037803,1.3172028,0.29165622
Kepler-1031 b,Transit,0.59,0.87,3112.3398,1241.1814,1.2262173,0.0218,0.89597162,0.77949531,0.29163977
Kepler-292 f,Transit,6.12,2.35,23.150575,,20.834237,0.141,0.47157181,1.1081938,0.29161186
Kepler-132 c,Transit,2.18,1.28,351.54601,,6.414914,0.068,1.039505,1.3305664,0.2915624
HD 22946 d,Transit,26.57,2.607,18.492842,306.30284,47.42489,0.2958,1.4995759,3.9093944,0.29154607
Kepler-208 e,Transit,2.79,1.48,116.91013,1932.4795,16.259458,0.132,0.86063511,1.27374,0.29154234
Kepler-144 c,Transit,2.39,1.35,216.64282,,10.104665,0.094,0.97139664,1.3113855,0.29152006
Kepler-215 d,Transit,23.6,2.39,22.318065,,30.864423,0.185,1.7286947,4.1315803,0.29150162
Kepler-1476 b,Transit,3.43,1.67,65.791256,,10.358632,0.0932,0.73645244,1.2298756,0.29148833
HD 154857 b,Radial Velocity,778.6835,13.3,3.1149227,1123.8772,408.60001,1.426482,0.33098328,4.4020776,0.29148053
K2-85 b,Transit,1.87,1.2,939.71391,1141.4863,0.684559,0.0133744,1.0821759,1.2986111,0.29147447
Kepler-1385 b,Transit,0.543,0.85,1636.454,,2.8887986,0.0415,0.88418482,0.75155709,0.29143357
Kepler-1629 b,Transit,0.381,0.77,312.26012,1210.2834,3.8759581,0.0485,0.83455084,0.64260415,0.29142499
EPIC 212737443 b,Transit,7.2,2.586,18.854379,,13.603,0.09996,0.41633885,1.0766523,0.29137883
Kepler-1888 b,Transit,2.32,1.326,258.87149,,11.3917,0.0956,0.99507866,1.3194743,0.29137092
Kepler-567 b,Transit,5.69,2.25,25.816433,1026.1803,16.542974,0.1229,0.49953361,1.1239506,0.29136433
Kepler-1258 b,Transit,0.566,0.86,3073.3207,,0.98494017,0.0201,0.88985875,0.76527853,0.29135175
Kepler-1912 b,Transit,2.41,1.357,214.05973,,6.0592198,0.0646,0.96444507,1.308752,0.29132933
K2-210 b,Transit,0.566,0.86,3315.5314,,0.57023,0.013038374,0.88985875,0.76527853,0.29131825
Kepler-1055 b,Transit,2.04,1.23,649.14843,956.14478,2.2950362,0.0331,1.0962632,1.3484037,0.2913059
Kepler-1120 b,Transit,2.48,1.38,189.64756,1093.6916,2.9490291,0.0369,0.94365756,1.3022474,0.29126117
K2-165 b,Transit,2.17,1.274,402.66404,,2.354992,0.03254832,1.0494251,1.3369676,0.29125684
Kepler-1222 b,Transit,0.418,0.79,438.02791,830.82446,1.9169443,0.0282,0.84780311,0.66976446,0.29124289
Kepler-1573 b,Transit,1.87,1.2,1113.7744,997.72891,2.6157554,0.0364,1.0821759,1.2986111,0.2912407
K2-147 b,Transit,0.315,0.73,201.93228,,0.961918,0.0159,0.80973325,0.59110527,0.29121804
HIP 54373 b,Radial Velocity,8.62,2.87,15.423512,600.33028,7.76,0.06426,0.36463771,1.0465102,0.29121143
Kepler-770 c,Transit,1.87,1.2,1185.9955,,1.4753223,0.0309,1.0821759,1.2986111,0.29116384
Kepler-1591 b,Transit,2.15,1.27,430.88264,758.80834,8.1850495,0.0794,1.0496084,1.3330027,0.29116045
Kepler-775 b,Transit,1.81,1.19,1546.382,810.21785,0.97486893,0.0187,1.0740826,1.2781583,0.29114756
Kepler-205 b,Transit,2.89,1.51,108.06873,2142.0396,2.75564,0.032,0.8393962,1.2674883,0.2911463
Kepler-1581 b,Transit,0.437,0.8,541.60193,,6.2838549,0.0674,0.85351562,0.6828125,0.29113212
Kepler-238 f,Transit,13.5,2,35.668322,,50.447,0.2747,1.6875,3.375,0.29112765
Kepler-301 c,Transit,2.39,1.35,231.04549,,5.419026,0.06,0.97139664,1.3113855,0.29112122
Kepler-968 c,Transit,3.5,1.69,63.825366,1216.8285,5.7094049,0.052,0.72511674,1.2254473,0.2911126
KOI-55 c,Orbital Brightness Modulation,0.655,0.867,396618.36,,0.342887,0.0076,1.0050415,0.87137101,0.29110486
Kepler-1373 b,Transit,1.65,1.16,10147.739,1454.8975,1.2912328,0.0242,1.0570852,1.2262188,0.29109492
Kepler-1412 b,Transit,0.498,0.83,1136.5751,1327.9016,3.6146051,0.0461,0.87095369,0.72289157,0.29108657
Kepler-1264 b,Transit,1.76,1.18,2415.0897,,0.96852602,0.0191,1.0711903,1.2640046,0.29107028
HD 191939 d,Transit,2.8,2.995,14.309827,,38.353037,0.21330244,0.10422396,0.31215075,0.29106771
Kepler-101 c,Transit,3.78,1.25,562.19606,,6.02976,0.0684,1.93536,2.4192,0.2910374
TOI-1696 b,Transit,48.8,3.09,13.562165,1008.1556,2.500311,0.0229,1.6540338,5.1109645,0.29102118
Kepler-1139 b,Transit,1.81,1.19,1824.0306,882.49136,0.81316672,0.0165,1.0740826,1.2781583,0.29100904
Kepler-876 b,Transit,2.63,1.43,152.35451,,5.1443801,0.0549,0.89938913,1.2861265,0.29098672
K2-254 b,Transit,3.29,1.63,75.066121,859.78155,4.09639,0.0448,0.75968418,1.2382852,0.29095605
Kepler-339 b,Transit,2.6,1.42,160.79577,,4.977656,0.055,0.90804697,1.2894267,0.29093331
Kepler-1587 b,Transit,2.33,1.33,274.79636,1313.2818,9.4060467,0.0878,0.99037803,1.3172028,0.29091312
Kepler-1357 b,Transit,2.18,1.28,425.04243,,3.0091324,0.041,1.039505,1.3305664,0.2908756
Kepler-1214 b,Transit,6.17,2.36,23.258412,,18.826343,0.128,0.46940656,1.1077995,0.29086736
EPIC 206042996 c,Transit,1.87,1.2,1583.4913,,0.354884,0.008131902,1.0821759,1.2986111,0.29086618
Kepler-1179 b,Transit,2.3,1.32,300.5023,,2.6850575,0.0346,1.0000139,1.3200184,0.29084485
Kepler-1104 b,Transit,2.04,1.23,828.09605,1648.3842,5.0372801,0.0628,1.0962632,1.3484037,0.29083891
Kepler-1370 c,Transit,2.15,1.27,487.98815,,7.4414211,0.0767,1.0496084,1.3330027,0.29078074
Kepler-1601 b,Transit,0.477,0.82,1077.2623,1641.2733,2.2092195,0.0336,0.86512094,0.70939917,0.29074858
Kepler-1069 b,Transit,3.19,1.6,82.946906,704.22352,23.89903,0.1685,0.77880859,1.2460937,0.29071414
Kepler-393 b,Transit,2.21,1.29,403.56846,,9.182417,0.091,1.0294924,1.3280452,0.2907136
Kepler-763 b,Transit,1.98,1.22,1102.7886,,1.1965516,0.0205,1.0903996,1.3302876,0.29070458
Kepler-1446 b,Transit,0.477,0.82,1123.4708,,0.68996783,0.0141,0.86512094,0.70939917,0.29069494
KOI-351 b,Transit,2.27,1.31,339.26305,714.10676,7.008151,0.074,1.0097456,1.3227667,0.29067345
HIP 97233 b,Radial Velocity,6098.1736,12.1,3.3193869,295.22945,1062.2651,2.985339,3.44226,41.651347,0.29066816
Kepler-127 b,Transit,2.54,1.4,185.09018,1543.2835,14.435889,0.13880625,0.92565598,1.2959184,0.29063469
Kepler-1834 c,Transit,1.98,1.22,1177.1112,,0.76669152,0.015,1.0903996,1.3302876,0.29062414
Kepler-1141 b,Transit,0.477,0.82,1200.499,1207.54,2.3445119,0.0345,0.86512094,0.70939917,0.29061471
EPIC 201615463 c,Transit,1.98,1.22,1206.8136,885.5346,3.80464,0.048773048,1.0903996,1.3302876,0.29059477
K2-187 b,Transit,1.87,1.2,2292.5156,981.34472,0.77401,0.0164,1.0821759,1.2986111,0.29059139
Kepler-659 b,Transit,6.8,2.5,20.546934,,17.671796,0.1204,0.4352,1.088,0.29054674
Kepler-124 b,Transit,0.315,0.73,224.32144,,3.410493,0.039,0.80973325,0.59110527,0.29053401
Kepler-402 d,Transit,2.48,1.38,210.84412,,8.921099,0.087,0.94365756,1.3022474,0.29052842
Kepler-707 b,Transit,2.33,1.33,298.69866,2101.1592,2.2374927,0.0325,0.99037803,1.3172028,0.29050826
K2-233 b,Transit,11.26,1.343,274.93401,449.86012,2.4675,0.033183226,4.6484734,6.2428998,0.29042712
Kepler-1284 b,Transit,1.92,1.21,1969.3728,,0.66407381,0.0143,1.0837899,1.3113858,0.29042258
Kepler-1437 b,Transit,2.45,1.37,228.8964,,10.929546,0.0951,0.95280578,1.3053439,0.29040526
Kepler-1987 e,Transit,4.35,1.92,41.369201,2074.902,8.7429201,0.0765,0.61459012,1.180013,0.29039161
Kepler-408 b,Transit,5,0.82,1489.5431,1509.2434,2.46502,0.03589,9.0683536,7.43605,0.29038757
Kepler-403 b,Transit,2.1,1.25,762.73349,1264.4058,7.031462,0.076,1.0752,1.344,0.29038212
HD 126525 b,Radial Velocity,75.32571,10.3,0.27042563,,960.41,1.8381252,0.068933695,0.71001706,0.29037477
Kepler-787 b,Transit,2.18,1.28,503.7392,,0.9283105,0.0159,1.039505,1.3305664,0.29036194
GJ 682 c,Radial Velocity,8.7,2.89,0.064886906,930.77748,57.32,0.17688,0.36043398,1.0416542,0.29035929
Kepler-909 b,Transit,2.76,1.47,135.80766,,13.932903,0.1175,0.86887455,1.2772456,0.29035807
Kepler-1395 b,Transit,0.437,0.8,775.43625,,3.7847065,0.0494,0.85351562,0.6828125,0.29035201
Kepler-1429 b,Transit,2.21,1.29,454.22875,720.00609,4.4848749,0.055,1.0294924,1.3280452,0.2903277
TOI-1411 b,Transit,2.42,1.36,248.05291,,1.4520358,0.023,0.96205221,1.308391,0.29032656
EPIC 212624936 b,Transit,1.87,1.2,4071.4822,,0.578657,0.013587005,1.0821759,1.2986111,0.29032315
Kepler-78 b,Transit,1.68,1.201,3913.3656,1391.8279,0.35500745,0.00901,0.96979571,1.1647247,0.2903106
K2-120 b,Transit,4.7,2.01,35.983976,,9.562742,0.0787644,0.5787749,1.1633375,0.29029514
Kepler-826 b,Transit,2.1,1.25,801.18379,1203.6572,4.4875891,0.0528,1.0752,1.344,0.29029391
Kepler-371 b,Transit,4.23,1.89,43.847013,130.66165,34.763278,0.2,0.62654888,1.1841774,0.29019894
Kepler-286 b,Transit,2.07,1.24,1050.2011,,1.796302,0.027,1.0856886,1.3462539,0.29018382
Kepler-905 b,Transit,2.57,1.41,186.29789,1184.9185,5.0827465,0.0572,0.91680249,1.2926915,0.29017609
Kepler-1542 e,Transit,0.363,0.76,365.45498,1720.9738,5.1011576,0.0567,0.82692448,0.6284626,0.29017277
Kepler-1303 b,Transit,2.6,1.42,176.49001,,7.5612722,0.0751,0.90804697,1.2894267,0.29017208
Kepler-1045 b,Transit,7.7,2.69,17.746687,,26.410455,0.1616,0.3955796,1.0641091,0.29015151
Kepler-1365 c,Transit,0.437,0.8,895.79162,1075.3907,4.77468,0.0545,0.85351562,0.6828125,0.29010907
Kepler-910 b,Transit,0.477,0.82,2137.3383,,2.364369,0.0382,0.86512094,0.70939917,0.29010154
Kepler-1075 b,Transit,2.6,1.42,178.1859,666.42005,1.5237282,0.0208,0.90804697,1.2894267,0.2900978
Kepler-224 b,Transit,2.51,1.39,212.04733,,3.132924,0.038,0.93460763,1.2991046,0.29009134
Kepler-1311 c,Transit,1.98,1.22,2189.2954,,2.5357342,0.0368,1.0903996,1.3302876,0.29007212
Kepler-1882 b,Transit,2.81,1.487,130.27148,,13.7873,0.1151,0.85462071,1.270821,0.29003321
Kepler-1899 b,Transit,3.02,1.551,101.89846,,4.0957799,0.0457,0.80941556,1.2554035,0.29001487
Kepler-1683 b,Transit,4.17,1.875,45.36961,768.33281,15.0337,0.1182,0.63260444,1.1861333,0.28999137
Kepler-173 b,Transit,2.21,1.29,514.65657,1321.8023,4.263742,0.048,1.0294924,1.3280452,0.28996656
Kepler-1833 b,Transit,2.24,1.3,460.14133,,6.8921299,0.0771,1.0195721,1.3254438,0.28994441
Kepler-292 b,Transit,2.3,1.32,375.71965,,2.580827,0.035,1.0000139,1.3200184,0.28991721
